sentence,verb,verbIndex,object,label
 The huge waves swallowed the small boat and it sank shortly thereafter .,swallow,3,wave,1
 She swallowed the last words of her speech .,swallow,1,word,1
 He swallowed his words .,swallow,1,word,1
 I swallowed my anger and kept quiet .,swallow,1,anger,1
 Am I supposed to swallow that story ?,swallow,4,story,1
 The music swelled to a crescendo .,swell,2,music,1
 The mother was swelling with importance when she spoke of her son .,swell,3,mother,1
 The bellies of the starving children are swelling .,swell,7,belly,0
 The water swells the wood .,swell,2,wood,0
 my brain is swimming after the bottle of champagne .,swim,3,brain,1
 the meat was swimming in a fatty gravy .,swim,3,meat,1
 this snake swims through the soil where it lives .,swim,2,snake,0
 tack the notice on the board .,tack,0,notice,0
 The sailors decided to tack the boat .,tack,4,boat,0
 He tacked together some verses .,tack,1,verse,1
 Actions talk louder than words .,talk,1,action,1
 The baby talks already .,talk,2,baby,0
 Can you taste the garlic ?,taste,2,garlic,0
 We tasted wines last night .,taste,1,wine,0
 The ex - slave tasted freedom shortly before she died .,taste,4,freedom,1
 The State taxes alcohol heavily .,tax,2,state,0
 You are taxing my patience .,tax,2,patience,1
 They taxed him failure to appear in court .,tax,1,failure,1
 the bodybuilder 's neck muscles tensed .,tense,5,muscle,0
 The bus thundered down the road .,thunder,2,bus,1
 The river thundered below .,thunder,2,river,1
 They tied their victim to the chair .,tie,1,victim,0
 These big jets are tied to large airports .,tie,4,jet,1
 The fishermen tied their flies .,tie,2,fly,0
 They topped off their dinner with a cognac .,top,1,dinner,1
 A star tops the Christmas Tree .,top,2,tree,0
 The towers were topped with conical roofs .,top,3,tower,0
 The hikers topped the mountain just before noon .,top,2,hiker,1
 trace the outline of a figure in the sand .,trace,0,outline,0
 The hunters traced the deer into the woods .,trace,2,deer,0
 She traced the circumstances of her birth .,trace,1,circumstance,1
 This experience transformed her completely .,transform,2,experience,1
 It can transform energy to light .,transform,2,energy,0
 tread grapes to make wine .,tread,0,grape,0
 male birds tread the females .,tread,2,bird,0
 He trenched his military camp .,trench,1,camp,0
 letters trenched into the stone .,trench,1,letter,0
 trench the fallen soldiers .,trench,0,soldier,0
 The prisoner tugged at the chains .,tug,2,chain,0
 She tugged for years to make a decent living .,tug,1,living,1
 The tugboat tugged the freighter into the harbor .,tug,2,freighter,0
 The horse finally tugged the cart out of the mud .,tug,3,cart,0
 The wrestler twisted his shoulder .,twist,2,shoulder,0
 The cord is all twisted .,twist,4,cord,0
 Do n't twist my words .,twist,2,word,1
 The war uprooted many people .,uproot,2,people,1
 The vestiges of political democracy were soon uprooted .,uproot,7,democracy,1
 They plan to uproot the vine that has spread all over the garden .,uproot,3,vine,0
 She vested her vast fortune in her two sons .,vest,1,fortune,0
 The property vests in the trustees .,vest,2,property,0
 Did you ever visit Paris ? .,visit,3,paris,0
 The principal visited his rage on the students .,visit,2,rage,1
 Every summer we visited our relatives in the country for a month .,visit,4,relative,0
 Every summer we visited our relatives in the country for a month .,visit,4,illness,1
 They began to volley the tennis ball .,volley,3,ball,0
 I heard him volley a string of curses .,volley,3,curse,1
 pigs were wallowing in the mud .,wallow,2,pig,0
 wallow in your success !,wallow,0,success,1
 She was wearing yellow that day .,wear,2,yellow,0
 He always wears a smile .,wear,2,smile,1
 wear one 's hair in a certain way .,wear,0,hair,0
 The bullets whistled past him .,whistle,2,bullet,1
 She whistled a melody .,whistle,1,melody,0
 Her optimism whistled away these worries .,whistle,2,optimism,1
 He wrestled all his life with his feeling of inferiority .,wrestle,1,feeling,1
 I wrestled with this decision for years .,wrestle,1,decision,1
 The children wrestled in the garden .,wrestle,2,child,0
 He bowed before the King .,bow,1,person,0
 I can breathe better when the air is clean .,breathe,2,person,0
 This rare Bordeaux must be allowed to breathe for at least 2 hours .,breathe,7,wine,0
 The child colored the drawings .,color,2,drawing,0
 My personal feelings color my judgment in this case .,color,3,judgement,1
 He and his sons have n't communicated for years .,communicate,6,people,0
 Please use a computerized disctionary .,computerize,3,dictionary,0
 Her feelings condensed .,condense,2,feeling,1
 The exercise class drains me of energy .,drain,3,person,1
 The company dumped him after many years of service .,dump,2,employee,1
 engraved the trophy cupt with the winner 's .,engrave,0,cup,0
 The Turks erased the Armenians in 1915 .,erase,2,people,1
 Vesuvius erupts once in a while .,erupt,1,volcano,0
 Islam is fermenting Africa .,ferment,2,society,1
 grind lenses for glasses and cameras .,grind,0,lens,0
 the theater was jampacked .,jam,3,theatre,1
 She leaned over the banister .,lean,1,woman,0
 after a glass of wine  he lightened up a bit .,lighten,7,man,1
 They were locked in embrace .,lock,2,person,1
 He marched into the classroom and announced the exam .,march,1,man,0
 His heart palpitated .,palpitate,2,feeling,1
 He peeped at the woman through the window .,peep,1,man,0
 Goya wanted to portray his mistress  the Duchess of Alba .,portray,3,painter,0
 We preserve these archeological findings .,preserve,1,finding,0
 We sailed the Atlantic .,sail,1,ocean,0
 She was singing while she was cooking .,sing,2,woman,0
 stamp fruit extract the juice .,stamp,0,person,1
 We had to swim for 20 minutes to reach the shore .,swim,3,man,0
 She talks a lot of nonsense .,talk,1,woman,0
 He transformed into a monster .,transform,1,person,1
 Gun shots volleyed at the attackers .,volley,2,shot,0
 She whistled for her maid .,whistle,1,woman,0
